idempresa,flag_salesforce,provincia_principal,ciudad_principal,region
51146082,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51331697,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
51332023,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
50966500,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51325735,true,Ciudad de México,Cuautitlán Izcalli,I24_MX          Lista #01           MXN
51272857,true,Ciudad de México,Gustavo A. Madero,I24_MX          Lista #01           MXN
51309121,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
50634801,true,Querétaro,Querétaro,I24_MX          Lista #02           MXN
51225430,true,Morelos,Yautepec,I24_MX          Lista #03           MXN
51299212,true,Hidalgo,Pachuca,I24_MX          Lista #03           MXN
51312673,true,Guerrero,Acapulco de Juárez,I24_MX          Lista #03           MXN
51329069,true,Quintana Roo,Benito Juárez,I24_MX          Lista #03           MXN
50665301,true,San luis Potosí,San Luis Potosí,I24_MX          Lista #03           MXN
51221417,true,Tabasco,Centro,I24_MX          Lista #03           MXN
51237610,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51300568,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
51347511,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51340882,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
51325587,true,Ciudad de México,Coyoacán,I24_MX          Lista #01           MXN
50912793,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51341980,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
50822532,true,Jalisco,Guadalajara,I24_MX          Lista #01           MXN
50966468,true,Edo. de México,Tlalnepantla de Baz,I24_MX          Lista #01           MXN
51064042,true,Ciudad de México,Cuauhtémoc,I24_MX          Lista #01           MXN
51304541,true,Ciudad de México,Miguel Hidalgo,I24_MX          Lista #01           MXN
50498675,true,Edo. de México,Naucalpan de Juárez,I24_MX          Lista #01           MXN
50382647,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
50975713,true,Edo. de México,Huixquilucan,I24_MX          Lista #01           MXN
51356286,true,Ciudad de México,Benito Juárez,I24_MX          Lista #01           MXN
51326984,true,Ciudad de México,Azcapotzalco,I24_MX          Lista #01           MXN
50724027,true,Jalisco,Zapopan,I24_MX          Lista #01           MXN
